,Con Seguridad,Cerrado,Country
0,Greenville 2,Ayres del Sur,Las Delicias
1,Manantiales,Palmas de Claret,Lomas de la Carolina
2,Altos de Manantiales,Santina Norte,Jockey Club
3,Miradores de Manantiales,Terranova,El Bosque
4,Riberas de Manantiales,Valle Escondido,La Cuesta
5,Solares de Santa María,Valle Cercano,La Paloma
6,Chacra del Norte,Tejas del Sur I,La Rufina
7,Comarca de Allende,Tejas del Sur II,Cañuelas
8,El Rodeo,La Reserva,La Cascada Country Golf
9,Los Mimbres,Siete Soles,La Santina
10,La Paya I,Estancia La Lucila,La Herradura
11,La Paya II,Claros del Bosque,
12,Barranquitas,Cuesta Colorada,
13,Barrancas Norte,Paso de Piedra,
14,Chacra del Sur,Valle del Golf,
15,Lomas del Chateau,Las Cañitas,
16,,Tejas III,
17,,Acquavista,
18,,Estación del Carmen,
19,,Fortín del Pozo,
20,,Cuatro Hojas,
21,,Estancia Q2,
22,,San Alfonso del Talar,
23,,San Isidro,
24,,La Catalina,
25,,La Morada,
26,,Chacras de la Villa,
27,,Villa Catalina,
28,,Las Corzuelas,
29,,Soles Serranos,
30,,Alto Villasol,
31,,Altos del Chateau,
32,,Ayres Del Sur,
33,,Casonas Del Sur,
34,,Cinco Lomas,
35,,Jardín Claret,
36,,Docta ,
37,,Fincas Del Sur II,
38,,Fincas Del Sur I,
39,,La Calandria ,
40,,Nuevo Urca,
41,,La Estanzuela,
42,,Mendiolaza Golf,
43,,Solares de San Alfonso,
44,,Terrazas de Villa Allende,
45,,Cumbres del Golf,
46,,,
47,,,
48,,,
